datetime,open,high,low,close,volume
2022-04-06,45497.54,45507.14,43121.0,43170.47,60849.32936
2022-04-07,43170.47,43900.99,42727.35,43444.19,37396.54156
2022-04-08,43444.2,43970.62,42107.14,42252.01,42375.04203
2022-04-09,42252.02,42800.0,42125.48,42753.97,17891.66047
2022-04-10,42753.96,43410.3,41868.0,42158.85,22771.09403
2022-04-11,42158.85,42414.71,39200.0,39530.45,63560.44721
2022-04-12,39530.45,40699.0,39254.63,40074.94,57751.01778
2022-04-13,40074.95,41561.31,39588.54,41147.79,41342.27254
2022-04-14,41147.78,41500.0,39551.94,39942.38,36807.01401
2022-04-15,39942.37,40870.36,39766.4,40551.9,24026.35739
2022-04-16,40551.9,40709.35,39991.55,40378.71,15805.44718
2022-04-17,40378.7,40595.67,39546.17,39678.12,19988.49259
2022-04-18,39678.11,41116.73,38536.51,40801.13,54243.49575
2022-04-19,40801.13,41760.0,40571.0,41493.18,35788.85843
2022-04-20,41493.19,42199.0,40820.0,41358.19,40877.35041
2022-04-21,41358.19,42976.0,39751.0,40480.01,59316.27657
2022-04-22,40480.01,40795.06,39177.0,39709.18,46664.0196
2022-04-23,39709.19,39980.0,39285.0,39441.6,20291.42375
2022-04-24,39441.61,39940.0,38929.62,39450.13,26703.61186
2022-04-25,39450.12,40616.0,38200.0,40426.08,63037.12784
2022-04-26,40426.08,40797.31,37702.26,38112.65,66650.258
2022-04-27,38112.64,39474.72,37881.31,39235.72,57083.12272
2022-04-28,39235.72,40372.63,38881.43,39742.07,56086.6715
2022-04-29,39742.06,39925.25,38175.0,38596.11,51453.65715
2022-04-30,38596.11,38795.38,37578.2,37630.8,35321.18989
2022-05-01,37630.8,38675.0,37386.38,38468.35,38812.24104
2022-05-02,38468.35,39167.34,38052.0,38525.16,53200.92628
2022-05-03,38525.16,38651.51,37517.8,37728.95,40316.45358
2022-05-04,37728.95,40023.77,37670.0,39690.0,62574.61736
2022-05-05,39690.0,39845.51,35571.9,36552.97,88722.43355
2022-05-06,36552.97,36675.63,35258.0,36013.77,68437.80187
2022-05-07,36013.77,36146.3,34785.0,35472.39,34281.70682
2022-05-08,35472.4,35514.22,33713.95,34038.4,72445.64344
2022-05-09,34038.39,34243.15,30033.33,30076.31,191876.926428
2022-05-10,30074.23,32658.99,29730.4,31017.1,165532.00311
2022-05-11,31017.11,32162.59,27785.0,29103.94,207063.739278
2022-05-12,29103.94,30243.0,26700.0,29029.75,204507.263138
2022-05-13,29029.74,31083.37,28751.67,29287.05,97872.36957
2022-05-14,29287.05,30343.27,28630.0,30086.74,51095.87863
2022-05-15,30086.74,31460.0,29480.0,31328.89,46275.66912
2022-05-16,31328.89,31328.9,29087.04,29874.01,73082.19658
2022-05-17,29874.01,30788.37,29450.38,30444.93,56724.13307
2022-05-18,30444.93,30709.99,28654.47,28715.32,59749.15799
2022-05-19,28715.33,30545.18,28691.38,30319.23,67877.36415
2022-05-20,30319.22,30777.33,28730.0,29201.01,60517.25325
2022-05-21,29201.01,29656.18,28947.28,29445.06,20987.13124
2022-05-22,29445.07,30487.99,29255.11,30293.94,36158.98748
2022-05-23,30293.93,30670.51,28866.35,29109.15,63901.49932
2022-05-24,29109.14,29845.86,28669.0,29654.58,59442.96036
2022-05-25,29654.58,30223.74,29294.21,29542.15,59537.38659
2022-05-26,29542.14,29886.64,28019.56,29201.35,94581.65463
2022-05-27,29201.35,29397.66,28282.9,28629.8,90998.5201
2022-05-28,28629.81,29266.0,28450.0,29031.33,34479.35127
2022-05-29,29031.33,29587.78,28839.21,29468.1,27567.34764
2022-05-30,29468.1,32222.0,29299.62,31734.22,96785.9476
2022-05-31,31734.23,32399.0,31200.01,31801.04,62433.11632
2022-06-01,31801.05,31982.97,29301.0,29805.83,103395.63382
2022-06-02,29805.84,30689.0,29594.55,30452.62,56961.42928
2022-06-03,30452.63,30699.0,29282.36,29700.21,54067.44727
2022-06-04,29700.21,29988.88,29485.0,29864.04,25617.90113
2022-06-05,29864.03,30189.0,29531.42,29919.21,23139.9281
2022-06-06,29919.2,31765.64,29890.23,31373.1,68836.92456
2022-06-07,31373.1,31589.6,29218.96,31125.33,110674.51658
2022-06-08,31125.32,31327.22,29843.88,30204.77,68542.61276
2022-06-09,30204.77,30700.0,29944.1,30109.93,46291.1865
2022-06-10,30109.93,30382.8,28850.0,29091.88,76204.2498
2022-06-11,29091.87,29440.41,28099.99,28424.7,65901.39895
2022-06-12,28424.71,28544.96,26560.0,26574.53,92474.598809
2022-06-13,26574.53,26895.84,21925.77,22487.41,254611.034966
2022-06-14,22485.27,23362.88,20846.0,22136.41,187201.64671
2022-06-15,22136.42,22800.0,20111.62,22583.72,200774.493467
2022-06-16,22583.72,22995.73,20232.0,20401.31,99673.59429
2022-06-17,20400.6,21365.43,20246.66,20468.81,86694.33663
2022-06-18,20468.81,20792.06,17622.0,18970.79,196441.655524
2022-06-19,18970.79,20815.95,17960.41,20574.0,128320.87595
2022-06-20,20574.0,21090.0,19637.03,20573.89,109028.94154
2022-06-21,20573.9,21723.0,20348.4,20723.52,104371.0749
2022-06-22,20723.51,20900.0,19770.51,19987.99,92133.97938
2022-06-23,19988.0,21233.0,19890.07,21110.13,83127.08716
2022-06-24,21110.12,21558.41,20736.72,21237.69,77430.36622
2022-06-25,21237.68,21614.5,20906.62,21491.19,51431.67794
2022-06-26,21491.18,21888.0,20964.73,21038.07,53278.10464
